Ente;Confinanti;Data inizio;Positivi 2020/03/25;Data massimo positivi durante chiusura;Massimo positivi durante chiusura;Data fine chiusura;Positivi fine chiusura;Data inizio zona rossa;Positivi inizio zona rossa;Data massimo positivi seconda ondata;Massimo positivi seconda ondata;Data inizio zona arancione;Positivi inizio zona arancione;Data inizio zona gialla;Positivi inizio zona gialla;Data ultimo giorno;Positivi 2021/01/16;Data massimo positivi;Massimo positivi;Data massima variazione;Massima variazione;Data inizio;Positivi per 1000 abitanti 2020/03/25;Data massimo positivi per 1000 abitanti durante chiusura;Massimo positivi per 1000 abitanti durante chiusura;Data fine chiusura;Positivi per 1000 abitanti fine chiusura;Data inizio zona rossa;Positivi per 1000 abitanti inizio zona rossa;Data massimo positivi per 1000 abitanti seconda ondata;Massimo positivi per 1000 abitanti seconda ondata;Data inizio zona arancione;Positivi per 1000 abitanti inizio zona arancione;Data inizio zona gialla;Positivi per 1000 abitanti inizio zona gialla;Data ultimo giorno;Positivi per 1000 abitanti 2021/01/16;Data massimo positivi per 1000 abitanti;Massimo positivi per 1000 abitanti;Data massima variazione per 1000 abitanti;Massima variazione per 1000 abitanti;Tipo
Alba;Piobesi d'Alba,Corneliano d'Alba,Treiso,Roddi,Monticello d'Alba,Trezzo Tinella,Diano d'Alba,Benevello,Barbaresco,Borgomale,Serralunga d'Alba,Castiglione Falletto,Guarene,La Morra,Grinzane Cavour;2020/03/25;36;2020/04/08;52;2020/05/18;12;2020/11/03;161;2020/11/19;324;2020/11/27;320;2020/12/12;184;2021/01/16;158;2020/11/19;324;2020/11/10;38;2020/03/25;1.14;2020/04/08;1.65;2020/05/18;0.38;2020/11/03;5.11;2020/11/19;10.28;2020/11/27;10.16;2020/12/12;5.84;2021/01/16;5.01;2020/11/19;10.28;2020/11/10;1.21;COM
Albano Vercellese;Greggio,Collobiano,Villarboit,Oldenico,San Nazzaro Sesia;2020/03/25;0;2020/04/17;5;2020/05/18;1;2020/11/03;1;2020/11/15;4;2020/11/27;3;2020/12/12;0;2021/01/16;1;2020/04/17;5;2020/04/11;2;2020/03/25;0.0;2020/04/17;15.58;2020/05/18;3.12;2020/11/03;3.12;2020/11/15;12.46;2020/11/27;9.35;2020/12/12;0.0;2021/01/16;3.12;2020/04/17;15.58;2020/04/11;6.23;COM
Albaretto della Torre;Arguello,Sinio,Rodello,Cerretto Langhe,Lequio Berria;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/17;3;2020/11/27;3;2020/12/12;1;2021/01/16;2;2020/11/17;3;2021/01/07;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/17;13.39;2020/11/27;13.39;2020/12/12;4.46;2021/01/16;8.93;2020/11/17;13.39;2021/01/07;8.93;COM
Albera Ligure;Rocchetta Ligure,Montacuto,Fabbrica Curone,Cabella Ligure,Cantalupo Ligure;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;2;2020/11/05;3;2020/11/27;3;2020/12/12;1;2021/01/16;0;2020/11/05;3;2020/10/19;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;6.67;2020/11/05;10.0;2020/11/27;10.0;2020/12/12;3.33;2021/01/16;0.0;2020/11/05;10.0;2020/11/01;3.34;COM
Albiano d'Ivrea;Caravino,Bollengo,VestignÃ¨,Piverone,Azeglio,Ivrea,Palazzo Canavese;2020/03/25;1;2020/04/26;2;2020/05/18;1;2020/11/03;17;2020/11/17;37;2020/11/27;24;2020/12/12;4;2021/01/16;14;2020/11/17;37;2020/11/02;5;2020/03/25;0.61;2020/04/26;1.22;2020/05/18;0.61;2020/11/03;10.33;2020/11/17;22.48;2020/11/27;14.58;2020/12/12;2.43;2021/01/16;8.51;2020/11/17;22.48;2021/01/07;3.04;COM
Albugnano;Berzano di San Pietro,Pino d'Asti,Castelnuovo Don Bosco,Aramengo,Moncucco Torinese,Passerano Marmorito;2020/03/25;0;2020/05/10;15;2020/05/18;10;2020/11/03;5;2020/12/13;42;2020/11/27;9;2020/12/12;37;2021/01/16;3;2020/12/13;42;2020/12/03;12;2020/03/25;0.0;2020/05/10;29.7;2020/05/18;19.8;2020/11/03;9.9;2020/12/13;83.17;2020/11/27;17.82;2020/12/12;73.27;2021/01/16;5.94;2020/12/13;83.17;2020/12/03;23.76;COM
Alessandria;Oviglio,Alluvioni Piovera,Pietra Marazzi,Montecastello,Frugarolo,Valenza,Sale,San Salvatore Monferrato,Pecetto di Valenza,Tortona,Solero,Quargnento,Castelletto Monferrato,Bosco Marengo,Castellazzo Bormida;2020/03/25;212;2020/04/18;489;2020/05/18;313;2020/11/03;826;2020/11/19;1623;2020/11/27;1252;2020/12/12;549;2021/01/16;290;2020/11/19;1623;2020/11/18;104;2020/03/25;2.26;2020/04/18;5.22;2020/05/18;3.34;2020/11/03;8.82;2020/11/19;17.33;2020/11/27;13.37;2020/12/12;5.86;2021/01/16;3.1;2020/11/19;17.33;2020/11/18;1.11;COM
Alfiano Natta;Tonco,Penango,Calliano,Castelletto Merli,Moncalvo,Odalengo Piccolo,Villadeati;2020/03/25;0;2020/05/08;2;2020/05/18;2;2020/11/03;2;2020/12/09;10;2020/11/27;7;2020/12/12;9;2021/01/16;3;2020/12/09;10;2020/05/08;2;2020/03/25;0.0;2020/05/08;2.57;2020/05/18;2.57;2020/11/03;2.57;2020/12/09;12.84;2020/11/27;8.99;2020/12/12;11.55;2021/01/16;3.85;2020/12/09;12.84;2020/05/08;2.57;COM
Alice Bel Colle;Quaranti,Maranzana,Castel Rocchero,Ricaldone,Cassine,Acqui Terme,Castelletto Molina;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;3;2020/11/17;11;2020/11/27;8;2020/12/12;8;2021/01/16;1;2020/11/17;11;2020/11/17;4;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;4.02;2020/11/17;14.75;2020/11/27;10.72;2020/12/12;10.72;2021/01/16;1.34;2020/11/17;14.75;2020/11/17;5.37;COM
Alice Castello;SanthiÃ ,CavagliÃ ,Tronzano Vercellese,Roppolo,Borgo d'Ale,Viverone;2020/03/25;1;2020/05/06;24;2020/05/18;21;2020/11/03;7;2020/11/19;28;2020/11/27;24;2020/12/12;6;2021/01/16;20;2020/11/19;28;2020/11/18;5;2020/03/25;0.39;2020/05/06;9.3;2020/05/18;8.14;2020/11/03;2.71;2020/11/19;10.85;2020/11/27;9.3;2020/12/12;2.33;2021/01/16;7.75;2020/11/19;10.85;2020/11/18;1.94;COM
Alluvioni Piovera;Rivarone,Montecastello,Bassignana,Sale,Isola Sant'Antonio,Alessandria;2020/03/25;3;2020/04/28;11;2020/05/18;8;2020/11/03;27;2020/11/27;25;2020/11/27;25;2020/12/12;17;2021/01/16;8;2020/10/28;30;2020/10/18;7;2020/03/25;1.73;2020/04/28;6.33;2020/05/18;4.6;2020/11/03;15.54;2020/11/27;14.38;2020/11/27;14.38;2020/12/12;9.78;2021/01/16;4.6;2020/10/28;17.26;2020/10/18;4.03;COM
Almese;Val della Torre,Avigliana,Rubiana,Caselette,Villar Dora;2020/03/25;6;2020/04/24;18;2020/05/18;4;2020/11/03;38;2020/11/19;84;2020/11/27;67;2020/12/12;34;2021/01/16;10;2020/11/19;84;2020/11/06;11;2020/03/25;0.94;2020/04/24;2.82;2020/05/18;0.63;2020/11/03;5.96;2020/11/19;13.17;2020/11/27;10.5;2020/12/12;5.33;2021/01/16;1.57;2020/11/19;13.17;2020/11/06;1.72;COM
Alpette;Pont-Canavese,CuorgnÃ¨,Sparone,Canischio;2020/03/25;0;2020/04/03;1;2020/05/18;1;2020/11/03;0;2020/12/27;4;2020/11/27;3;2020/12/12;1;2021/01/16;2;2020/12/27;4;2020/04/03;1;2020/03/25;0.0;2020/04/03;4.13;2020/05/18;4.13;2020/11/03;0.0;2020/12/27;16.53;2020/11/27;12.4;2020/12/12;4.13;2021/01/16;8.26;2020/12/27;16.53;2020/11/21;4.14;COM
Alpignano;Rivoli,Val della Torre,San Gillio,Caselette,Pianezza;2020/03/25;32;2020/05/04;195;2020/05/18;82;2020/11/03;111;2020/11/17;248;2020/11/27;164;2020/12/12;71;2021/01/16;38;2020/11/17;248;2020/04/19;35;2020/03/25;1.95;2020/05/04;11.91;2020/05/18;5.01;2020/11/03;6.78;2020/11/17;15.14;2020/11/27;10.01;2020/12/12;4.33;2021/01/16;2.32;2020/11/17;15.14;2020/04/19;2.14;COM
Altavilla Monferrato;Vignale Monferrato,Montemagno,Viarigi,Fubine Monferrato,Felizzano,Casorzo;2020/03/25;0;2020/04/05;2;2020/05/18;0;2020/11/03;0;2020/12/12;5;2020/11/27;2;2020/12/12;5;2021/01/16;0;2020/12/12;5;2020/11/20;2;2020/03/25;0.0;2020/04/05;4.65;2020/05/18;0.0;2020/11/03;0.0;2020/12/12;11.63;2020/11/27;4.65;2020/12/12;11.63;2021/01/16;0.0;2020/12/12;11.63;2020/11/20;4.65;COM
Alto;Ormea,Caprauna;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/04;0;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/03/25;0;2020/03/25;0;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/04;0.0;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/03/25;0.0;2020/03/25;0.0;COM
Alto Sermenza;Alagna Valsesia,Fobello,Mollia,Macugnaga,Rossa,Boccioleto,Carcoforo;2020/03/25;0;2020/05/16;1;2020/05/18;1;2020/11/03;0;2020/11/04;0;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/05/16;1;2020/05/16;1;2020/03/25;0.0;2020/05/16;6.37;2020/05/18;6.37;2020/11/03;0.0;2020/11/04;0.0;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/05/16;6.37;2020/05/16;6.37;COM
Alzano Scrivia;Isola Sant'Antonio,Guazzora,Castelnuovo Scrivia,Molino dei Torti;2020/03/25;0;2020/05/17;3;2020/05/18;1;2020/11/03;0;2020/11/06;1;2020/11/27;0;2020/12/12;1;2021/01/16;0;2020/05/17;3;2020/04/30;1;2020/03/25;0.0;2020/05/17;8.57;2020/05/18;2.86;2020/11/03;0.0;2020/11/06;2.86;2020/11/27;0.0;2020/12/12;2.86;2021/01/16;0.0;2020/05/17;8.57;2020/04/30;2.86;COM
Ameno;Miasino,Orta San Giulio,Invorio,Bolzano Novarese,Armeno,Colazza;2020/03/25;0;2020/05/07;3;2020/05/18;3;2020/11/03;0;2020/11/20;16;2020/11/27;11;2020/12/12;8;2021/01/16;2;2020/11/20;16;2020/11/13;9;2020/03/25;0.0;2020/05/07;3.15;2020/05/18;3.15;2020/11/03;0.0;2020/11/20;16.79;2020/11/27;11.54;2020/12/12;8.39;2021/01/16;2.1;2020/11/20;16.79;2020/11/13;9.44;COM
Andezeno;Marentino,Arignano,Chieri,Montaldo Torinese;2020/03/25;1;2020/04/08;3;2020/05/18;0;2020/11/03;15;2020/11/16;29;2020/11/27;22;2020/12/12;8;2021/01/16;3;2020/11/16;29;2020/10/28;3;2020/03/25;0.5;2020/04/08;1.49;2020/05/18;0.0;2020/11/03;7.45;2020/11/16;14.41;2020/11/27;10.93;2020/12/12;3.97;2021/01/16;1.49;2020/11/16;14.41;2020/10/28;1.49;COM
Andorno Micca;Pettinengo,Biella,Campiglia Cervo,Tollegno,Miagliano,Callabiana,Piedicavallo,Rassa,Sagliano Micca,Tavigliano,Rosazza;2020/03/25;5;2020/05/10;31;2020/05/18;25;2020/11/03;9;2021/01/09;41;2020/11/27;33;2020/12/12;24;2021/01/16;33;2021/01/09;41;2020/04/24;22;2020/03/25;1.57;2020/05/10;9.76;2020/05/18;7.87;2020/11/03;2.83;2021/01/09;12.91;2020/11/27;10.39;2020/12/12;7.56;2021/01/16;10.39;2021/01/09;12.91;2020/04/24;6.93;COM
Andrate;Borgofranco d'Ivrea,Donato,Settimo Vittone,Nomaglio,Chiaverano;2020/03/25;1;2020/03/25;1;2020/05/18;0;2020/11/03;2;2020/11/13;8;2020/11/27;2;2020/12/12;2;2021/01/16;0;2020/11/13;8;2020/11/13;3;2020/03/25;2.0;2020/03/25;2.0;2020/05/18;0.0;2020/11/03;4.01;2020/11/13;16.03;2020/11/27;4.01;2020/12/12;4.01;2021/01/16;0.0;2020/11/13;16.03;2020/11/13;6.01;COM
Angrogna;Perrero,Prarostino,Bricherasio,San Germano Chisone,Luserna San Giovanni,Villar Pellice,Pramollo,Torre Pellice;2020/03/25;0;2020/05/05;2;2020/05/18;0;2020/11/03;2;2020/11/14;7;2020/11/27;4;2020/12/12;2;2021/01/16;0;2020/11/14;7;2020/11/12;2;2020/03/25;0.0;2020/05/05;2.32;2020/05/18;0.0;2020/11/03;2.32;2020/11/14;8.11;2020/11/27;4.63;2020/12/12;2.32;2021/01/16;0.0;2020/11/14;8.11;2020/11/12;2.31;COM
Antignano;Revigliasco d'Asti,San Damiano d'Asti,San Martino Alfieri,Celle Enomondo,Costigliole d'Asti,Isola d'Asti;2020/03/25;0;2020/05/17;22;2020/05/18;22;2020/11/03;2;2020/11/19;9;2020/11/27;6;2020/12/12;4;2021/01/16;5;2020/05/17;22;2020/04/22;3;2020/03/25;0.0;2020/05/17;22.89;2020/05/18;22.89;2020/11/03;2.08;2020/11/19;9.37;2020/11/27;6.24;2020/12/12;4.16;2021/01/16;5.2;2020/05/17;22.89;2020/05/28;3.13;COM
Antrona Schieranco;Calasca-Castiglione,Vanzone con San Carlo,Montescheno,Ceppo Morelli,Borgomezzavalle,Bognanco;2020/03/25;0;2020/04/03;5;2020/05/18;0;2020/11/03;2;2020/11/15;9;2020/11/27;4;2020/12/12;3;2021/01/16;0;2020/11/15;9;2020/04/02;3;2020/03/25;0.0;2020/04/03;11.93;2020/05/18;0.0;2020/11/03;4.77;2020/11/15;21.48;2020/11/27;9.55;2020/12/12;7.16;2021/01/16;0.0;2020/11/15;21.48;2020/04/02;7.16;COM
Anzola d'Ossola;Ornavasso,Massiola,Valstrona,Pieve Vergonte,Premosello-Chiovenda;2020/03/25;0;2020/04/06;1;2020/05/18;0;2020/11/03;1;2020/11/18;5;2020/11/27;2;2020/12/12;3;2021/01/16;3;2020/11/18;5;2020/11/18;2;2020/03/25;0.0;2020/04/06;2.46;2020/05/18;0.0;2020/11/03;2.46;2020/11/18;12.29;2020/11/27;4.91;2020/12/12;7.37;2021/01/16;7.37;2020/11/18;12.29;2020/11/18;4.92;COM
Aramengo;Lauriano,Berzano di San Pietro,Albugnano,Cocconato,Casalborgone,Tonengo,Passerano Marmorito;2020/03/25;0;2020/04/21;1;2020/05/18;1;2020/11/03;3;2020/12/13;7;2020/11/27;3;2020/12/12;6;2021/01/16;3;2020/12/13;7;2020/10/27;2;2020/03/25;0.0;2020/04/21;1.77;2020/05/18;1.77;2020/11/03;5.31;2020/12/13;12.39;2020/11/27;5.31;2020/12/12;10.62;2021/01/16;5.31;2020/12/13;12.39;2020/10/27;3.54;COM
Arborio;Rovasenda,Recetto,Greggio,Sillavengo,Landiona,Vicolungo,San Giacomo Vercellese,Villarboit,Ghislarengo;2020/03/25;6;2020/03/25;6;2020/05/18;0;2020/11/03;5;2020/11/04;5;2020/11/27;0;2020/12/12;3;2021/01/16;1;2020/03/25;6;2020/07/16;1;2020/03/25;6.96;2020/03/25;6.96;2020/05/18;0.0;2020/11/03;5.8;2020/11/04;5.8;2020/11/27;0.0;2020/12/12;3.48;2021/01/16;1.16;2020/03/25;6.96;2020/07/16;1.16;COM
Argentera;Canosio,Acceglio,Pietraporzio;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/28;2;2020/11/27;1;2020/12/12;1;2021/01/16;0;2020/11/28;2;2020/09/27;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/28;25.97;2020/11/27;12.99;2020/12/12;12.99;2021/01/16;0.0;2020/11/28;25.97;2020/09/27;12.99;COM
Arguello;Cravanzana,Cerretto Langhe,Lequio Berria,Albaretto della Torre;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;1;2020/11/07;4;2020/11/27;1;2020/12/12;0;2021/01/16;0;2020/11/07;4;2020/10/28;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;5.03;2020/11/07;20.1;2020/11/27;5.03;2020/12/12;0.0;2021/01/16;0.0;2020/11/07;20.1;2020/10/28;5.03;COM
Arignano;Mombello di Torino,Andezeno,Marentino,Riva presso Chieri,Moncucco Torinese,Chieri;2020/03/25;3;2020/05/12;5;2020/05/18;3;2020/11/03;7;2020/11/14;13;2020/11/27;5;2020/12/12;5;2021/01/16;2;2020/11/14;13;2020/10/24;3;2020/03/25;2.79;2020/05/12;4.65;2020/05/18;2.79;2020/11/03;6.51;2020/11/14;12.09;2020/11/27;4.65;2020/12/12;4.65;2021/01/16;1.86;2020/11/14;12.09;2020/10/24;2.79;COM
Arizzano;Vignone,Bee,Ghiffa,Verbania;2020/03/25;3;2020/04/05;10;2020/05/18;2;2020/11/03;17;2020/11/24;31;2020/11/27;26;2020/12/12;12;2021/01/16;15;2020/11/24;31;2020/03/30;5;2020/03/25;1.49;2020/04/05;4.97;2020/05/18;0.99;2020/11/03;8.45;2020/11/24;15.41;2020/11/27;12.92;2020/12/12;5.96;2021/01/16;7.46;2020/11/24;15.41;2020/03/30;2.48;COM
Armeno;Miasino,Gignese,Pisano,Ameno,Brovello-Carpugnino,Pettenasco,Omegna,Massino Visconti,Nebbiuno,Colazza;2020/03/25;0;2020/04/20;2;2020/05/18;2;2020/11/03;13;2021/01/16;45;2020/11/27;18;2020/12/12;6;2021/01/16;45;2021/01/16;45;2021/01/06;8;2020/03/25;0.0;2020/04/20;0.91;2020/05/18;0.91;2020/11/03;5.92;2021/01/16;20.49;2020/11/27;8.2;2020/12/12;2.73;2021/01/16;20.49;2021/01/16;20.49;2021/01/14;3.65;COM
Arola;Madonna del Sasso,Civiasco,Cesara;2020/03/25;1;2020/03/25;1;2020/05/18;0;2020/11/03;0;2020/11/18;3;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/11/18;3;2020/11/07;1;2020/03/25;4.12;2020/03/25;4.12;2020/05/18;0.0;2020/11/03;0.0;2020/11/18;12.35;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/11/18;12.35;2020/11/07;4.12;COM
Arona;Oleggio Castello,Invorio,Comignago,Dormelletto,Meina,Paruzzaro;2020/03/25;9;2020/04/22;40;2020/05/18;17;2020/11/03;75;2020/11/19;140;2020/11/27;114;2020/12/12;47;2021/01/16;27;2020/11/19;140;2020/11/16;19;2020/03/25;0.65;2020/04/22;2.87;2020/05/18;1.22;2020/11/03;5.38;2020/11/19;10.03;2020/11/27;8.17;2020/12/12;3.37;2021/01/16;1.94;2020/11/19;10.03;2020/11/16;1.36;COM
Arquata Scrivia;Grondona,Voltaggio,Vignole Borbera,Gavi,Serravalle Scrivia,Carrosio;2020/03/25;7;2020/04/06;18;2020/05/18;4;2020/11/03;28;2020/11/16;70;2020/11/27;55;2020/12/12;39;2021/01/16;7;2020/11/16;70;2020/11/15;9;2020/03/25;1.1;2020/04/06;2.83;2020/05/18;0.63;2020/11/03;4.4;2020/11/16;10.99;2020/11/27;8.64;2020/12/12;6.12;2021/01/16;1.1;2020/11/16;10.99;2020/11/15;1.41;COM
Asigliano Vercellese;Costanzana,Pertengo,Vercelli,Stroppiana,Desana,Prarolo,Pezzana;2020/03/25;3;2020/04/07;7;2020/05/18;0;2020/11/03;23;2020/11/06;25;2020/11/27;16;2020/12/12;5;2021/01/16;3;2020/10/25;25;2020/10/25;18;2020/03/25;2.08;2020/04/07;4.85;2020/05/18;0.0;2020/11/03;15.95;2020/11/06;17.34;2020/11/27;11.1;2020/12/12;3.47;2021/01/16;2.08;2020/10/25;17.34;2020/10/25;12.49;COM
Asti;Cinaglio,Portacomaro,San Damiano d'Asti,Celle Enomondo,Mongardino,Chiusano d'Asti,Isola d'Asti,Refrancore,Revigliasco d'Asti,Azzano d'Asti,Settime,Castello di Annone,Calliano,Rocca d'Arazzo,Vigliano d'Asti,Cossombrato,Tigliole,Baldichieri d'Asti,Castell'Alfero,Monale,Castagnole Monferrato;2020/03/25;127;2020/04/28;468;2020/05/18;311;2020/11/03;624;2020/11/22;1056;2020/11/27;914;2020/12/12;443;2021/01/16;464;2020/11/22;1056;2020/11/12;91;2020/03/25;1.67;2020/04/28;6.16;2020/05/18;4.09;2020/11/03;8.21;2020/11/22;13.89;2020/11/27;12.02;2020/12/12;5.83;2021/01/16;6.1;2020/11/22;13.89;2020/11/12;1.2;COM
Aurano;Intragna,Trarego Viggiona,Premeno,Miazzina,Cannero Riviera,Valle Cannobina,Oggebbio;2020/03/25;0;2020/04/03;1;2020/05/18;0;2020/11/03;0;2021/01/16;3;2020/11/27;1;2020/12/12;0;2021/01/16;3;2021/01/16;3;2020/04/03;1;2020/03/25;0.0;2020/04/03;9.71;2020/05/18;0.0;2020/11/03;0.0;2021/01/16;29.13;2020/11/27;9.71;2020/12/12;0.0;2021/01/16;29.13;2021/01/16;29.13;2020/04/03;9.71;COM
